seed: 502
CheapNet params # : 1390215
Best model saved at epoch 1 with val rmse: 1.5496171
Epoch: 001, Train RMSE: 3.2710263, Val RMSE: 1.5496171, Pearson R: 0.6232528, Spearman R: 0.6358130
Best model saved at epoch 2 with val rmse: 1.5370748
Epoch: 002, Train RMSE: 1.8389166, Val RMSE: 1.5370748, Pearson R: 0.6058979, Spearman R: 0.6131098
Best model saved at epoch 3 with val rmse: 1.5282762
Epoch: 003, Train RMSE: 1.7230331, Val RMSE: 1.5282762, Pearson R: 0.6193378, Spearman R: 0.6303648
Epoch: 004, Train RMSE: 1.6451997, Val RMSE: 1.8005238, Pearson R: 0.5222526, Spearman R: 0.5206560
Best model saved at epoch 5 with val rmse: 1.4194409
Epoch: 005, Train RMSE: 1.6092655, Val RMSE: 1.4194409, Pearson R: 0.6810428, Spearman R: 0.6846175
Epoch: 006, Train RMSE: 1.6055821, Val RMSE: 1.6840196, Pearson R: 0.5977406, Spearman R: 0.6091852
Epoch: 007, Train RMSE: 1.5529771, Val RMSE: 1.8975607, Pearson R: 0.4933518, Spearman R: 0.5257500
Epoch: 008, Train RMSE: 1.5300201, Val RMSE: 1.4706925, Pearson R: 0.6653812, Spearman R: 0.6739954
Epoch: 009, Train RMSE: 1.4947669, Val RMSE: 1.5442801, Pearson R: 0.6178877, Spearman R: 0.6391654
Best model saved at epoch 10 with val rmse: 1.3899801
Epoch: 010, Train RMSE: 1.5030960, Val RMSE: 1.3899801, Pearson R: 0.6955123, Spearman R: 0.7123924
Epoch: 011, Train RMSE: 1.4464812, Val RMSE: 1.5491611, Pearson R: 0.7030770, Spearman R: 0.7098126
Epoch: 012, Train RMSE: 1.4388471, Val RMSE: 1.4795642, Pearson R: 0.7067062, Spearman R: 0.7164735
Epoch: 013, Train RMSE: 1.4103397, Val RMSE: 1.5993306, Pearson R: 0.6157685, Spearman R: 0.6456598
Epoch: 014, Train RMSE: 1.3769307, Val RMSE: 1.8238046, Pearson R: 0.5962060, Spearman R: 0.6074899
Epoch: 015, Train RMSE: 1.3500674, Val RMSE: 1.4176922, Pearson R: 0.6956123, Spearman R: 0.7162865
Epoch: 016, Train RMSE: 1.3424640, Val RMSE: 1.4169785, Pearson R: 0.7017963, Spearman R: 0.7153079
Epoch: 017, Train RMSE: 1.2987993, Val RMSE: 1.5690848, Pearson R: 0.6897669, Spearman R: 0.7019455
Epoch: 018, Train RMSE: 1.2775444, Val RMSE: 1.4581167, Pearson R: 0.6898053, Spearman R: 0.6885702
Epoch: 019, Train RMSE: 1.2612256, Val RMSE: 1.5836883, Pearson R: 0.6781585, Spearman R: 0.7036038
Epoch: 020, Train RMSE: 1.2197030, Val RMSE: 1.6045986, Pearson R: 0.6898448, Spearman R: 0.7211933
Best model saved at epoch 21 with val rmse: 1.3667428
Epoch: 021, Train RMSE: 1.2047439, Val RMSE: 1.3667428, Pearson R: 0.7227894, Spearman R: 0.7350712
Best model saved at epoch 22 with val rmse: 1.3088878
Epoch: 022, Train RMSE: 1.1614106, Val RMSE: 1.3088878, Pearson R: 0.7514410, Spearman R: 0.7605946
Epoch: 023, Train RMSE: 1.0982101, Val RMSE: 1.6990829, Pearson R: 0.6672604, Spearman R: 0.6682447
Epoch: 024, Train RMSE: 1.1373034, Val RMSE: 1.5013891, Pearson R: 0.6764137, Spearman R: 0.6683099
Epoch: 025, Train RMSE: 1.0529271, Val RMSE: 1.4641259, Pearson R: 0.7275435, Spearman R: 0.7431082
Epoch: 026, Train RMSE: 1.0706414, Val RMSE: 1.3466306, Pearson R: 0.7224119, Spearman R: 0.7259850
Best model saved at epoch 27 with val rmse: 1.3019142
